symbol,market_volume,exchange_count,exchanges,price,analysis_exchange,signal,signal_strength,stop_loss,take_profit,dynamic_rr_ratio,funding_rate,orderbook_imbalance,sentiment_score,ai_winrate_factor,timestamp
BTC/USDT,953533739.18,2,"okx,kucoin",85885.9,OKX,NO TRADE,45.16,,,0.0,4.329827742485e-05,-0.8749454378579005,40.0,0.5,2026-09-23T08:59:22.577370+00:00
ETH/USDT,444955410.97,2,"okx,kucoin",2734.24,OKX,NO TRADE,61.51,,,0.0,6.76798143897e-05,0.5643194223521719,50.0,0.5,2026-09-23T08:59:23.876169+00:00
XRP/USDT,300384889.9,2,"okx,kucoin",1.5969,OKX,LONG,63.61,1.420586,2.27571,3.85,0.0001,0.30100287279327576,30.0,0.5,2026-09-23T08:59:25.201598+00:00
UNI/USDT,156238687.63,2,"okx,kucoin",10.22,OKX,LONG,62.95,8.446458,17.048137,3.85,0.0001,-0.16499411887938117,50.0,0.5,2026-09-23T08:59:26.487437+00:00
SOL/USDT,153205603.79,2,"okx,kucoin",117.41,OKX,LONG,63.96,110.60034,136.136565,2.75,2.63149633498e-05,0.0017379934801531219,90.0,0.5,2026-09-23T08:59:27.856562+00:00
ZEC/USDT,146906659.01,2,"okx,kucoin",1614.07,OKX,LONG,66.62,1433.96151,2307.487687,3.85,7.169678220705e-05,-0.06991490222922571,63.333333333333336,0.5,2026-09-23T08:59:29.189581+00:00
DOGE/USDT,128082505.07,2,"okx,kucoin",0.09968,OKX,NO TRADE,58.04,,,0.0,0.0001,0.22429040233260808,50.0,0.5,2026-09-23T08:59:30.405103+00:00
NEAR/USDT,107440520.68,2,"okx,kucoin",4.536,OKX,NO TRADE,60.01,,,0.0,0.0001,-0.4592693357395441,50.0,0.5,2026-09-23T08:59:31.536873+00:00
BCH/USDT,82939257.69,2,"okx,kucoin",354.8,OKX,NO TRADE,61.06,,,0.0,-7.778576712499959e-07,0.025528625108407976,50.0,0.5,2026-09-23T08:59:32.667469+00:00
XMR/USDT,65707699.76,1,kucoin,568.65,KUCOIN,NO TRADE,52.68,,,0.0,0.0001,-0.3121350310497366,50.0,0.5,2026-09-23T08:59:33.411776+00:00
SUI/USDT,62585645.93,2,"okx,kucoin",1.0116,OKX,NO TRADE,57.11,,,0.0,0.0001,0.13134168003927044,50.0,0.5,2026-09-23T08:59:34.482893+00:00
TAO/USDT,60284400.41,2,"okx,kucoin",309.8,OKX,NO TRADE,55.18,,,0.0,7.500000000000001e-05,-0.06743046559687788,50.0,0.5,2026-09-23T08:59:35.649282+00:00
PEPE/USDT,54321819.67,2,"okx,kucoin",4.891e-06,OKX,NO TRADE,57.94,,,0.0,0.0001,0.2136818837641666,50.0,0.5,2026-09-23T08:59:36.722588+00:00
ARB/USDT,50244242.36,2,"okx,kucoin",0.23941,OKX,LONG,64.66,0.209712,0.353749,3.85,0.0001,0.0058404372971030466,50.0,0.5,2026-09-23T08:59:38.035619+00:00
LINK/USDT,45579674.68,2,"okx,kucoin",12.878,OKX,NO TRADE,50.44,,,0.0,7.464128132305e-05,-0.5410278556154978,50.0,0.5,2026-09-23T08:59:39.132862+00:00
HYPE/USDT,45403689.09,2,"okx,kucoin",95.755,OKX,NO TRADE,57.04,,,0.0,4.238138594615e-05,0.11295638434197657,50.0,0.5,2026-09-23T08:59:40.247735+00:00
LTC/USDT,41780310.52,2,"okx,kucoin",62.65,OKX,NO TRADE,56.27,,,0.0,0.0001,0.046517309541271125,50.0,0.5,2026-09-23T08:59:41.391280+00:00
DOT/USDT,41687269.69,2,"okx,kucoin",1.1639,OKX,NO TRADE,56.52,,,0.0,1.8349098644050004e-05,0.05527675243556793,50.0,0.5,2026-09-23T08:59:42.547919+00:00
AVAX/USDT,40838889.58,2,"okx,kucoin",11.035,OKX,NO TRADE,57.28,,,0.0,0.0001,0.14784187985160696,50.0,0.5,2026-09-23T08:59:43.657580+00:00
AAVE/USDT,40800244.54,2,"okx,kucoin",149.01,OKX,LONG,66.02,136.95456,195.423444,3.85,0.0001,0.14185053897609806,50.0,0.5,2026-09-23T08:59:45.090554+00:00
KCS/USDT,33546585.02,1,kucoin,7.34,KUCOIN,NO TRADE,59.27,,,0.0,0.0001,0.34717417900026915,50.0,0.5,2026-09-23T08:59:45.835299+00:00
ENA/USDT,32892869.29,2,"okx,kucoin",0.21284,OKX,NO TRADE,56.77,,,0.0,5e-05,0.08651639236419599,50.0,0.5,2026-09-23T08:59:46.988616+00:00
LONGXIA/USDT,32560632.18,1,kucoin,0.1888,KUCOIN,NO TRADE,46.4,,,0.0,0.003901,-0.06016861842510636,50.0,0.5,2026-09-23T08:59:47.712662+00:00
TRUMP/USDT,29385073.63,2,"okx,kucoin",2.202,OKX,NO TRADE,56.66,,,0.0,5e-05,0.0761506641460545,50.0,0.5,2026-09-23T08:59:48.853428+00:00
WIF/USDT,28360223.31,2,"okx,kucoin",0.2493,OKX,NO TRADE,56.9,,,0.0,5e-05,0.10029094800951986,50.0,0.5,2026-09-23T08:59:49.961310+00:00
BNB/USDT,27084600.65,2,"okx,kucoin",786.3,OKX,NO TRADE,58.74,,,0.0,4.85e-05,0.2836206516208261,50.0,0.5,2026-09-23T08:59:51.060069+00:00
ADA/USDT,26286147.09,2,"okx,kucoin",0.2534,OKX,NO TRADE,57.93,,,0.0,0.0001,0.21275234607733487,50.0,0.5,2026-09-23T08:59:52.158836+00:00
XLM/USDT,26053624.14,2,"okx,kucoin",0.21634,OKX,NO TRADE,57.14,,,0.0,0.0001,0.13433810203127317,50.0,0.5,2026-09-23T08:59:53.275637+00:00
SHIB/USDT,24159234.64,2,"okx,kucoin",6.073e-06,OKX,NO TRADE,58.18,,,0.0,0.0001,0.23812560764909246,50.0,0.5,2026-09-23T08:59:54.352095+00:00
SEI/USDT,24077376.43,2,"okx,kucoin",0.06084,OKX,NO TRADE,59.59,,,0.0,7.500000000000001e-05,0.3742380292622994,50.0,0.5,2026-09-23T08:59:55.465484+00:00
